subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
26605,160,800000,804999,child_on,12,12,WD,,,,,,,,,,,,,,,,,
26605,162,810000,814999,child_on,12,19,WD,,,,,,,,,,,,,,,,,
26605,164,820000,824999,child_on,3,,WD,In this case the butterfly was used as the base object because the hammer was being used on it ,,,,,,,,,,,,,,,,
26605,166,830000,834999,child_on,8,17,WD,,,,,,,,,,,,,,,,,
26605,169,845000,849999,child_in,2,,WD,Truck was the base object so it is not used as placed object (169-171) Frog is true placed object ,,,,,,,,,,,,,,,,
26605,170,850000,854999,child_in,2,,WD,,,,,,,,,,,,,,,,,
26605,171,855000,859999,child_in,2,,WD,,,,,,,,,,,,,,,,,
26605,179,895000,899999,child_on,8,2,WD,,,,,,,,,,,,,,,,,
26605,180,900000,904999,child_on,8,17,WD,,,,,,,,,,,,,,,,,
26605,199,995000,999999,child_on,8,32,WD,,,,,,,,,,,,,,,,,
26605,204,1020000,1024999,child_on,8,32,WD,,,,,,,,,,,,,,,,,
26720,66,330000,334999,child_on,17,1,WD,,,,,,,,,,,,,,,,,
26720,151,755000,759999,child_on,29,26,WD,,,,,,,,,,,,,,,,,
30mosub01,3,15000,19999,child_on,4,26,HN,,,,,,,,,,,,,,,,,
30mosub01,3,15000,19999,parent_on,4,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,11,55000,59999,child_on,18,26,HN,,,,,,,,,,,,,,,,,
30mosub01,13,65000,69999,child_on,9,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,13,65000,69999,parent_on,9,26,HN,,,,,,,,,,,,,,,,,
30mosub01,19,95000,99999,child_on,21,26,HN,,,,,,,,,,,,,,,,,
30mosub01,20,100000,104999,child_on,21,26,HN,"SR was done by parent, not child",,,,,,,,,,,,,,,,
30mosub01,21,105000,109999,child_on,9,26,HN,,,,,,,,,,,,,,,,,
30mosub01,24,120000,124999,child_on,32,26,HN,,,,,,,,,,,,,,,,,
30mosub01,29,145000,149999,child_on,7,26,HN,,,,,,,,,,,,,,,,,
30mosub01,29,145000,149999,parent_on,7,26,HN,,,,,,,,,,,,,,,,,
30mosub01,30,150000,154999,parent_on,7,26,HN,,,,,,,,,,,,,,,,,
30mosub01,32,160000,164999,child_on,7,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,32,160000,164999,parent_on,7,26,HN,,,,,,,,,,,,,,,,,
30mosub01,47,235000,239999,child_on,12,12,HN,,,,,,,,,,,,,,,,,
30mosub01,47,235000,239999,parent_on,12,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,50,250000,254999,child_on,8,12,HN,,,,,,,,,,,,,,,,,
30mosub01,50,250000,254999,parent_on,8,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,52,260000,264999,child_on,4,8,HN,,,,,,,,,,,,,,,,,
30mosub01,52,260000,264999,parent_on,4,8,HN,,,,,,,,,,,,,,,,,
30mosub01,55,275000,279999,child_on,4,8,HN,,,,,,,,,,,,,,,,,
30mosub01,64,320000,324999,child_on,4,,HN,No SR,,,,,,,,,,,,,,,,
30mosub01,64,320000,324999,parent_on,4,7,HN,,,,,,,,,,,,,,,,,
30mosub02,3,15000,19999,child_on,6,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,3,15000,19999,parent_on,6,25,HN,,,,,,,,,,,,,,,,,
30mosub02,4,20000,24999,child_on,6,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,4,20000,24999,parent_on,6,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,11,55000,59999,child_in,31,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,11,55000,59999,parent_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,12,60000,64999,child_in,31,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,12,60000,64999,parent_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,13,65000,69999,child_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,13,65000,69999,parent_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,15,75000,79999,child_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,16,80000,84999,child_in,31,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,16,80000,84999,parent_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,17,85000,89999,child_in,31,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,17,85000,89999,parent_in,31,31,HN,,,,,,,,,,,,,,,,,
30mosub02,46,230000,234999,child_on,1,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,47,235000,239999,child_in,1,3,HN,SR not coded in OPF: SR by child onset 240000 horse on truck,,,,,,,,,,,,,,,,
30mosub02,49,245000,249999,parent_in,11,33,HN,SR not coded in OPF: SR by child onset 245000 horse in truck,,,,,,,,,,,,,,,,
30mosub02,55,275000,279999,child_in,5,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,57,285000,289999,child_in,5,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,57,285000,289999,parent_in,5,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,81,405000,409999,parent_in,3,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,89,445000,449999,child_in,5,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,95,475000,479999,child_in,5,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,102,510000,514999,child_in,6,33,HN,should have been coded be in the previous bin onset 505000,,,,,,,,,,,,,,,,
30mosub02,120,600000,604999,child_on,12,,HN,No SR,,,,,,,,,,,,,,,,
30mosub02,120,600000,604999,parent_on,12,,HN,No SR,,,,,,,,,,,,,,,,
